,year,make,model,milage
178,2014,dodge,ram,197736
179,2008,dodge,ram,222388
182,2011,ford,f150,34968
206,2006,ford,f250,84032
210,2009,dodge,ram,198068
207,2002,dodge,ram,171702
208,2013,ford,f150,249106
212,2016,dodge,ram,202131
211,2016,ford,f250,164349
216,1998,ford,f250,126224
251,2016,ford,f250,57064
253,2015,dodge,ram,235707
254,2000,dodge,ram,131915
258,2018,ford,f150,35173
261,2006,dodge,ram,105385
257,2021,ford,f150,220218
259,2010,dodge,ram,134136
260,2011,ford,f250,147633
263,2006,ford,f150,235004
262,2011,ford,f150,83339
264,2021,ford,f150,114030
265,2009,dodge,ram,196604
266,2003,ford,f250,58869
268,2012,dodge,ram,108471
271,2017,dodge,ram,140903
269,2004,dodge,ram,148164
270,2009,dodge,ram,32925
267,1999,dodge,ram,46773
282,2001,dodge,ram,187338
284,2009,ford,f150,228609
285,2009,ford,f250,51408
73,2016,ford,f150,171392
